ID,Category,Title,URL
1,faq,SBI AMC Investor Education & Statement Help,https://www.sbimf.com/en-us/quick-links/investor-education
2,tax,SBI AMC Capital Gains Taxation Guide,https://www.sbimf.com/en-us/quick-links/tax-calculator
3,scheme,SBI Bluechip Fund Scheme Page,https://www.sbimf.com/en-us/equity-schemes/sbi-bluechip-fund
4,scheme,SBI Small Cap Fund Scheme Page,https://www.sbimf.com/en-us/equity-schemes/sbi-small-cap-fund
5,scheme,SBI Focused Equity Fund Scheme Page,https://www.sbimf.com/en-us/equity-schemes/sbi-focused-equity-fund
6,scheme,SBI Contra Fund Scheme Page,https://www.sbimf.com/en-us/equity-schemes/sbi-contra-fund
7,scheme,SBI Long Term Equity Fund (ELSS) Scheme Page,https://www.sbimf.com/en-us/equity-schemes/sbi-long-term-equity-fund
8,scheme,SBI Magnum Constant Maturity Fund Scheme Page,https://www.sbimf.com/en-us/debt-schemes/sbi-magnum-constant-maturity-fund
9,factsheet,SBI AMC Monthly Factsheet,https://www.sbimf.com/downloads/factsheets/Latest_Factsheet.pdf
10,kim,SBI Bluechip Fund Key Information Memorandum,https://www.sbimf.com/downloads/kim/SBI-Bluechip-Fund-KIM.pdf
11,kim,SBI Small Cap Fund Key Information Memorandum,https://www.sbimf.com/downloads/kim/SBI-Small-Cap-Fund-KIM.pdf
12,sid,SBI Bluechip Fund Scheme Information Document,https://www.sbimf.com/downloads/sid/SBI-Bluechip-Fund-SID.pdf
13,sid,SBI Small Cap Fund Scheme Information Document,https://www.sbimf.com/downloads/sid/SBI-Small-Cap-Fund-SID.pdf
14,regulatory_faq,SEBI Mutual Fund Categorization Guidelines FAQ,https://www.sebi.gov.in/sebi_data/faqfiles/jan-2021/1611728286280.pdf
15,regulatory_faq,AMFI Mutual Fund Category Explanations,https://www.amfiindia.com/investor-corner/knowledge-center/what-are-mutual-funds-categories
16,regulatory_faq,AMFI Total Expense Ratio (TER) Rules,https://www.amfiindia.com/investor-corner/knowledge-center/expense-ratio.html
17,regulatory_faq,AMFI Exit Load Rules,https://www.amfiindia.com/investor-corner/knowledge-center/exit-load.html
18,advisors,SEBI Directory of Registered Investment Advisors,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=36
